H0	H1	H2	C0	C1	C2	
ENSG00000040275	2417	1520	2204	3487	2383	559
ENSG00000040341	2024	969	1423	1635	1165	507
ENSG00000040487	395	705	472	277	1202	601
ENSG00000040531	383	576	605	319	1652	488
ENSG00000040608	499	269	261	263	347	72
ENSG00000040633	2188	2059	1595	2110	2725	943
ENSG00000040731	9	2253	1025	11	802	326
ENSG00000040933	1160	789	749	993	955	424
ENSG00000041353	10	39	429	10	132	323
ENSG00000041357	12256	5140	6518	8952	4383	2056
ENSG00000041515	3	31	2	0	2	19
ENSG00000041802	2058	730	1992	1251	959	635
ENSG00000041880	49	37	195	159	171	176
ENSG00000041982	148	9193	10117	54	7682	2310
ENSG00000041988	239	220	190	373	984	243
ENSG00000042062	153	177	156	13	50	17
ENSG00000042088	1447	785	931	1557	912	304
ENSG00000042286	238	71	268	164	326	134
ENSG00000042304	0	0	0	0	0	0
ENSG00000042317	222	183	257	251	322	103
ENSG00000042429	503	702	569	400	656	365
ENSG00000042445	416	375	492	204	396	157
ENSG00000042493	1702	3213	2467	3319	12450	4030
ENSG00000042753	1753	1204	2168	1117	1939	700
ENSG00000042781	19	6	3	17	7	5
ENSG00000042813	0	0	0	0	0	0
ENSG00000042832	0	33	33	2	15	5
ENSG00000042980	19	126	35	2	9	0
ENSG00000043039	0	142	31	1	135	6
ENSG00000043093	1272	824	756	1105	740	378
ENSG00000043143	1436	404	973	852	431	526
ENSG00000043355	2728	127	202	2603	19	13
ENSG00000043462	11	0	0	2	1	0
ENSG00000043514	1144	387	581	1351	839	294
ENSG00000043591	9	0	1	2	0	1
ENSG00000044012	0	0	0	0	0	0
ENSG00000044090	700	3035	1315	700	2877	493
ENSG00000044115	8712	12032	10070	7654	13598	5639
ENSG00000044446	365	435	246	473	760	132
ENSG00000044459	949	269	342	828	394	99
ENSG00000044524	34	24	25	44	6	0
ENSG00000044574	6925	4284	8614	6109	15618	6325
ENSG00000046604	7528	10321	8848	7018	14218	7060
ENSG00000046647	376	354	61	553	484	129
ENSG00000046651	148	213	34	142	443	63
ENSG00000046653	4721	598	176	4885	211	86
ENSG00000046774	0	0	0	0	0	0
ENSG00000046889	1875	135	59	867	8	7
ENSG00000047056	394	498	577	370	871	550
ENSG00000047188	1753	761	1304	1749	2005	799
ENSG00000047249	1144	1460	1502	841	2220	1374
ENSG00000047315	8118	4732	6978	6870	4896	3545
ENSG00000047346	153	358	218	227	626	426
ENSG00000047365	48	453	727	110	1114	513
ENSG00000047410	5888	5933	6728	6363	11682	3397
ENSG00000047457	24	4	1	38	5	2
ENSG00000047578	323	427	499	203	527	154
ENSG00000047579	212	505	351	319	603	163
ENSG00000047597	98	10	6	42	56	36
ENSG00000047617	62	89	6	44	51	9
ENSG00000047621	695	709	559	613	1040	480
ENSG00000047634	22	13	316	37	32	17
ENSG00000047644	982	4598	1356	783	2792	721
ENSG00000047648	16	286	189	29	38	23
ENSG00000047662	2	5	0	23	3	11
ENSG00000047849	5764	5072	10614	3928	7111	6412
ENSG00000047932	1558	1698	2244	1438	3668	1475
ENSG00000047936	0	0	0	0	1	0
ENSG00000048028	3808	1797	1136	2945	2799	330
ENSG00000048052	252	30	241	460	98	344
ENSG00000048140	1815	1287	1535	1421	1443	1001
ENSG00000048162	759	224	94	588	309	192
ENSG00000048342	331	322	298	201	231	66
ENSG00000048392	4982	1138	4919	1398	1586	2541
ENSG00000048405	102	343	823	50	530	437
ENSG00000048462	0	0	0	0	1	0
ENSG00000048471	174	283	273	142	489	276
ENSG00000048540	672	9	13	351	6	6
ENSG00000048544	238	90	172	244	116	94
ENSG00000048545	237	619	14	49	23	2
ENSG00000048649	2837	1899	2076	3207	2566	1229
ENSG00000048707	969	1246	1592	602	1474	713
ENSG00000048740	714	365	1136	241	467	612
ENSG00000048828	1334	871	1868	1235	1156	880
ENSG00000048991	1068	461	676	905	669	435
ENSG00000049089	136	555	22	30	15	5
ENSG00000049130	656	201	851	119	311	479
